role,experience_level,languages,tech_keywords,projects
"Robotics Researcher, Engineer and Hobbyist",Expert,"['C++', 'Python', 'CMake', 'Makefile', 'Shell']","['bto_ir_cmd', '2', 'advanced', 'arm_kinematics_constraint_aware', 'catkin_virtualenv', 'app_manager', 'arm_navigation_experimental', 'semi', 'catkin', 'awesome']","['Latex template for AAMAS Conference', 'AERO (SEEDNOID) ROS Package', 'Simple and lightweight XML parser for iOS and OSX written in Swift', 'Alchemy is a software package providing a series of algorithms for statistical relational learning and probabilistic logic inference, based on the Markov logic representation', 'app_manager dependency for the pr2, required for pr2_app_manager', 'This was a deprecated package from the arm_navigation stack, but is needed to compile some things in pr2_navigation and so it has been brought forward for the Hydro push.', 'Common code for working with audio in ROS', 'awesome topics for jsk', 'ROS packages for facilitating the use of AWS cloud services.', 'Build boost framework for iOS and OSX with Xcode 5 (armv7, armv7s, arm64, i386, x86_64)', 'ROS package for Bluetechnix BTA-based time-of-flight cameras', 'Bit Trade One IR Remocon tool for Linux', 'Build librealsense 2.0 library on the NVIDIA Jetson AGX Xavier Developer Kit. Intel RealSense D400 series cameras.', 'Build and install OpenCV for the NVIDIA Jetson AGX Xavier', 'A tool to inspect ROS package configuration', 'A CMake-based build system that is used to build all packages in ROS.', 'Integrates gRPC into Catkin/ROS ecosystem.', 'Examples for grpc ROS package.', 'Command line tools for working with catkin', 'Bundle python requirements in a catkin package via virtualenv']"
Independent Node.js consultant and educator,Expert,"['JavaScript', 'Shell', 'TypeScript', 'CSS', 'HTML']","['schema', 'knex', 'server', 'application', 'flexible', 'creating', 'app', 'how', 'modern', 'api']","['Command line tool for starting new Node.js projects', 'Creating flexible validation rules in Node.js', 'Style your readme using CSS with this simple trick', 'Knex Documentation Builder', ""Projects from courses I've done on egghead"", 'Example of a repository with a Node.js back end and React front end', 'Example Node.js API proxy server built with @fastify/fastify-http-proxy', ""Issues for the 'Express API Validation Essentials' book"", 'Express middleware for validating requests against JSON schema', 'Express resourceful routing for Mongoose models', 'Example applications demonstrating a migration from Express to Fastify.', 'Fast and low overhead web framework, for Node.js', 'Code examples using the Fastify framework.', 'Express compatibility layer for Fastify', 'UI for fastify-overview', 'Cancels HTTP requests with the Abort API. Bring your own Fetch API implementation.', 'A fluent API to generate JSON schemas', 'Improve your Node.js applications with schema generated types', 'Need help with Fastify? File an Issue here.', 'How to create a pull request with the GitHub CLI', 'A query builder for PostgreSQL, MySQL, CockroachDB, SQL Server, SQLite3 and Oracle, designed to be flexible, portable, and fun to use.', ""Code for my 'Learning Fastify' video series"", ""The test application I'm building in my 'Learning Fastify' video series 👉 https://www.youtube.com/playlist?list=PL1ZO2pWzCLRAtAf-JQWRn--CC4sTa1FRS"", 'Lychee Dockerfile', 'Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:', 'Command line tool for searching through commits in Node.js releases', 'A light-weight module that brings the Fetch API to Node.js', 'Command-line tool for running Node.js project tasks.']"
I like to write programs. I like to explore problems. I write all of my programs to run under Linux.,Expert,"['Go', 'Shell', 'Makefile', 'C', 'PHP']","['corasick', 'avl_tree', 'clean', 'combinatory', 'odd', 'tictactoe', 'parser', 'balancedice', 'alien_words', 'rotation']","['9-board tic tac toe', 'A development job interview question examined and analyzed', 'C language, library implementation of Aho-Corasick string matching', 'Inspired by Wordle, find 5, 5-letter words with 25 different letters between them.', 'Alpha beta minimaxing tic tac toe in various languages', 'Combinatory Logic Interpreter with user-definable primitives and abstraction algorithms', 'Arithmetic order of operations expression evaluator', 'Golang arithmetic expression parser and evaluator', 'Implementation and comparison of array rotation algorithms', 'Mid-century Modern for the Masses', 'AVL binary search tree (insert only) in Golang', 'Does an expression of parens, brackets and braces balance?', 'A puzzle solved by backtracking', 'BCD arithmetic experiments', 'Peculiar string representation of a binary tree', 'Consolidated binary tree interview questions', 'Programming job interview question - find next biggest number with same population count', 'Solution to, and analysis of, a programmin job interview question', 'Another interview question - reverse the bits of an integer.:w', 'programming interview question - bitwise-and all integers between M and N inclusive', 'Boggle-game like interview question', ""Wernher von Braun's circumlunar manned probe investigated"", 'Rename all function, method, class, variable, etc names to something generic', 'Interview question relating to Collatz sequences', 'Full featured combinatory logic interperter', ""Revisiting Knuth and McIlroy's word count problem, in Go"", 'trying to understand confidence intervals']"
Low code backend to build modern apps,Expert,"['JavaScript', 'Java', 'HTML', 'CSS', 'Shell']","['basic', 'ticketlister', 'notifications', 'android', 'registration', 'app', 'client', 'javascript', 'login', 'background']","['Ant Framework - Serverless microservices made easy', 'Back4App Barber Shop App Lessons', 'This is a repository of back4app demonstration apps', 'Repository for demo to the GTAC team in January 25th 2016', ""back{4}app implementations for the platform's entity layer"", 'An empty project in Swift that implements Parse and connects to Back4ap.com', 'Parse Community Blog [WIP]', 'The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.', 'A space for the webcomponents community']"
,Beginner,"['Python', 'Perl', 'TeX', 'Shell', 'C++']","['2018', 'casmacat', 'amunmt', 'Parallel', 'Shared', 'nmt', 'of', 'Filtering', 'WMT', 'on']","['A C++ decoder for neural machine translation models', 'Training script for Marian', 'Simulation experiments for WMT evaluation campaigns']"
,Expert,"['Python', 'Dockerfile', 'Shell', 'Java', 'Kotlin']","['jellysub', 'lgogdownloader', 'server', 'android', 'box', 'shell', 'consumers', 'Audinaut', 'apartment', 'base16']","[""Web UI for controlling my apartment's lights."", 'Async execution pool for Python', 'A Subsonic client for Android', 'Working with the AWeber API in PHP', 'Preview and enable Base16 Shell themes in your terminal.', 'Transcode ordinary files to and from bitmap images.', 'Maintain local backups of all Git repositories belonging to a GitHub or GitLab user', 'A simple, flexible way to parallelize processing in Python. https://consumers.readthedocs.io', 'A lean Docker image for awscli', 'Deprecated in favor of https://github.com/nvllsvm/emby-unlocked/tree/master/docker', 'Wait for Docker Healthchecks', 'Yet another lgogdownloader Docker image https://hub.docker.com/r/nvllsvm/lgogdownloader/', 'A Syncthing image with configurable UID and GID', 'Emby with the premium Emby Premiere features unlocked.', 'DEPRECATED - Mock HTTP implementations of Google Firebase and Google Instance ID', 'A small tool to remove proprietary parts from CyanogenMod 13', 'Count the number of lines in a repo.', 'DISCONTINUED', 'Create and synchronize transcoded copies of audio folders', 'Use Subsonic clients with Jellyfin', 'Dynamically set the IP of Linode DNS records', 'A CLI tool to search for Loggly events', 'minimalist media streaming server', 'A window displaying the cover for the currently playing MPD track - nothing more']"
"Computational Materials Scientist, C++ Developer, (Java|Coffee|Type)Script Hacker, Retro Computing Nerd,... and also Dad!",Expert,"['CoffeeScript', 'Makefile', 'Python', 'Shell', 'CSS']","['phase', 'chimad', 'explode', 'autocorrect', 'dschwen', 'helper', 'civet', 'doe', 'field', 'adfrescue']","['Replace MOOSE input file action syntax with the verbose objects constructed', 'Rescue files from broken ADF Amiga disk file images even if WinUAE cannot read the disks anymore.', 'Various tools for using AmigaOS programs on other platforms', 'A converter/unpacker for AMOS banks (the Amiga programming language)', 'Python code to try and detokenise Amos files.\nVery very alpha.', 'C++ multidimensional arrays in the spirit of the STL', 'An Atom package - A GDB debugger', 'Make runner for the Atom editor.', 'rtags for Atom', 'Atom.io autocomplete-plus provider for MOOSE (http://mooseframework.org) input files', 'Autocorrect plugin for atom.io', 'Simple anonymous ballot system in PHP', 'BlackBear is a MOOSE-based code for simulating degradation processes in concrete and other structural materials.', 'bounce HTTP requests around for load balancing or as an HTTP host router', 'Temperature and humidity logging for my chicken coop', 'The CHiMaD Phase Field Community Website', 'Continuous Integration, Verification, Enhancement, and Testing', 'C++ code input helper for the Atom editor', 'A MOOSE application dedicated to general Chemical ReAction NEtworks for plasma chemistry and thermochemistry problems.', 'ChurchWebCRM is a Fork of the ChurchInfo project, it uses ChurchInfo as  the starting point and adds new features and responsive UI.', 'Reverse engineering the data files and code of the german CRPG ""Die Dunkle Dimension"" on C64', 'A LaTeX template for proposals to the U.S. Department of Energy', 'My profile repository', ""Daniel Schwen's github.io page"", 'MediaWiki extension for safe embedding of locally-hosted scripts', 'Emulation hack for the Open Compute Language (OpenCL) to compile, debug, and run on legacy hardware']"
Asst. Prof. of Statistical Astronomy,Intermediate,"['Python', 'Shell', 'Makefile', 'HTML', 'Jupyter Notebook']","['lensing', 'eqxhubtest', 'provabgs', 'hydra', 'spender', 'skymapper', 'shapelets', 'shapelens', 'accelerate', 'ngmix']","['Turn the AAS job register into a RSS feed', '🚀 A simple way to train and use PyTorch models with multi-GPU, TPU, mixed-precision', 'Crowdsourced image quality control for the Dark Energy Survey', 'Simulate pixel noise for weak-lensing ellipticity measurements', 'Torch.hub-like clone for equinox models', 'simple ssh-based job distribution and resource utilization for computing nodes', 'Select-copy-middle-click-paste for MacOS <= Mojave', 'Material for the ""ML for the Sciences"" meeting at Princeton University', 'Gaussian mixtures implemented in python and C', 'PRObabilistic Value-Added Bright Galaxy Survey (PROVABGS)', 'Proximal optimization in pure python', 'Gaussian mixture model for incomplete (missing or truncated) and noisy data', 'hyperspectral galaxy modeling and deblending', 'Scarlet, all new and shiny', 'Astronomical image analysis and shape estimation framework', 'Shapelet basis function and image decomposition library', 'Stacked shear profiles and tests based upon them', 'SkyLens++ is a simulation package for optical astronomical observations.', 'Mapping astronomical survey data on the sky, handsomely', 'Spectrum encoder and decoder', 'Estimate the contamination of a sample from a limited set of tests', 'Material for the Princeton Undergraduate Summer Research Program in Astrophysics', 'Data and code for SDSS void lensing analysis']"
,Expert,"['JavaScript', 'Makefile', 'Python', 'HTML', 'Shell']","['daterangepicker', 'alexa', 'backstop', 'queue', 'analyze', 'duo', 'kit', 'at', 'android', 'ssh']","['if the same workflow is already running from a previous commit, wait for it to finish', 'Generate easy-to-read web pages for your Architecture Decision Records', 'Agent service for Optimizely Feature Experimentation and Optimizely Full Stack (legacy)', 'Akamai Edgeworker Starter Kit for Optimizely Feature Experimentation and Optimizely Full Stack (legacy)', 'Demo of Optimizely Full Stack with an Alexa Skill using AWS Lambda', 'The Optimizely analytics.js integration.', ""Monorepo housing Segment's analytics.js integrations"", ""Track a stylesheet's payload over time."", ""Demo apps showing Optimizely's Android SDK"", 'Android SDK for Optimizely Feature Experimentation and Optimizely Full Stack (legacy)', 'Ansible role for multiuser SSH 2FA using Duo', 'Google App Engine re-packaged for PyPI', 'Command line interface for Phabricator', 'AWS Lambda at Edge Starter Kit for Optimizely Feature Experimentation and Optimizely Full Stack (legacy)', 'Amazon Lambda to receive data from CloudWatch and post to Slack', 'Dynamically create Route 53 resource records using CloudWatch Events and Lambda', 'aws-vault like tool for Okta authentication', 'HTTP service for submitting metrics to Graphite', 'A Chef Cookbook manager', 'Date range picker component for Bootstrap', 'Performance Metrics for Web Browsers', 'Demonstrates an issue with BrowserstackLocal on alpine linux container', 'Demonstrates an issue with browserstack-local in Docker', 'NodeJS bindings for BrowserStack Local', ""LinkedIn's Kafka to HDFS pipeline."", 'Canvas Getting Started Guide (Python)', 'A project to help you get started with canvas using node.js and app engine', 'Python SDK for Canvas apps', 'Chef cookbook for the http://druid.io/']"
,Expert,"['Python', 'Batchfile', 'Shell', 'Makefile', 'HTML']","['gh', 'taxonomy', 'debian', 'commoncode', 'aboutcode', 'fingerprints', 'ahocode', 'proposals', 'dparse2', 'elf']","[' AboutCode project: tools and data to uncover things about code: the provenance, origin, license, and more (packages, security, quality, etc.) of FOSS code', 'AboutCode CycloneDX Property Taxonomy', 'Example code used for AboutCode training', ':white_check_mark: AboutCode Toolkit provides a simple way to document provenance metadata (origin and license) about third-party code that you use in your project: it includes utilities to generate inventory/BOM or Attribution documentation.', '[Archived] This project was an Attribution generation tool with many content and format options for the input data. All its features have been folded back in the latest AboutCode Toolkit at https://github.com/nexB/aboutcode-toolkit', 'Ultra-lightweight pure Python package to check if a file is binary or text.', 'Implements boolean algebra in one module.', 'Python library for reading and writing bzip2-compressed files.', 'ClearCode is a simple tool to fetch and sync all ClearlyDefined data locally.', 'container-inspector is a suite of analysis utilities and command line tools for Docker container images, their layers and how these relate to each other. It can also handle OCI images and Dockerfiles.', 'Common weakness enumeration library for Python (maintained fork of https://github.com/Julian-Nash/cwe )', 'A python library to parse Debian deb822-style control and copyright files and all related Debian, Ubuntu and Debian-derivative manifest and metadata files, an alternative approach to python-debian.', 'Automate open source license compliance and ensure software supply chain integrity', ' [Work in progress] An API client and toolkit with libraries, utilities and helpers to work with the DejaCode API ', 'DeltaCode: compare two codebase scans (from ScanCode) to detect significant changes.', 'A general purpose, mostly universal software package dependency resolver.', ':love_letter: Add webhook subscriptions to your Django app.', 'A parser for Python dependency files', 'A library to inspect ELF binary files', 'A mostly universal file extraction library and CLI tool to extract almost any archive in a reasonably safe way on Linux, macOS and Windows.', 'A library to reliably fetch code via HTTP, FTP and version control systems. This project is sponsored by NLnet project https://nlnet.nl/project/vulnerabilitydatabase/ Google Summer of Code, nexB and others generous sponsors!', 'Make it easier to compare and cross-reference the names of companies and people by applying strong normalisation.', 'A library to parse Rubygem gemspec and Gemfile files and Cocoapods podspec and Podfile files  using Python. Friendly fork of https://gitlab.com/balasankarc/gemfileparser', 'A repo to test the GH REST API for creating issues', '[WIP] An inspector for Go language-based source, binaries, packages, dependencies and metadata', 'An archive of GSoC proposals recieved by aboutcode.']"
Twitter: @iamtommythorn,Expert,"['Makefile', 'Rust', 'C', 'Verilog', 'Python']","['inferred', 'queue', 'duel', 'dirac', 'errata', 'firmware', 'board', 'blc', 'homekit', 'c4']","[""Stuff I did for Matt Venn's Zero-to-ASIC course"", 'Anti80 is design exercise in a more compiler friendly architecture in roughly the same implementation budget as the Z80', 'Quick hack to test html serving from github', 'A ""hello world"" style designs for the Cyclone V based $49 Arrow BeMicro CV', '3D printed case for the BeMicroCV-A9 FPGA development board', 'Small example design for BeMicro CV-A9 using JTAGUART and LEDs', 'Brainfuck interpreter in Rust', 'A template for building new projects/platforms using the BOOM core.', 'A Bounded SPSC queue for Rust', 'Fun with branch predictors', 'C in four functions', 'The adventures of a Haskell compiler', 'Bug-fixed version of the official specification of the Dirac wavelet based video codec', 'A quick little design to experiment with memory inference and timing impact', 'Proof of concept dynamic code generation', ""Partial implementation of Knuth's MMIX processor (FPGA softcore)"", 'DUEL -  A high level language for debugging C programs (by Michael Golan) ', 'Monorepo for all homekit related development, including integrated firmware, PCBs, and bridges', 'An extremely fast pixel framebuffer for Rust web assembly 🧱', 'Nascom 2 emulator in the browser', 'humble hacker firmware', 'A better Linux & Windows keyboard layout for professional mac users']"
LLM Research Engineer @ Bloomberg AI. Ph.D. @ JHU CLSP. #NLProc,Intermediate,[],"['nlp', 'matrix', 'recipes', 'neural', 'transformers', '2021Task0', 'crosslingual', 'transducer', 'baselines', 'llama']","['This repo supports various cross-lingual transfer learning & multilingual NLP models.', 'Examples and recipes for Llama 2 model', 'A tiny library for coding with large language models.', 'Distributed Matrix Library', 'This repo contains a set of neural transducer, e.g. sequence-to-sequence model, focusing on character-level tasks.', 'Tensors and Dynamic neural networks in Python with strong GPU acceleration', '🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.']"
SWE for ML @ Google | MSc in Statistical Learning Theory/Data Science @ HSE/Skoltech        ,Intermediate,"['Jupyter Notebook', 'Python', 'HTML', 'CSS', 'C++']","['Alfo5123.github.io', 'Square', 'Multitask', 'Filter', 'Adventure', '2', 'Rimac', 'LossViz', 'Challenge', 'Tunnel']","['Personal website project', 'Pytorch implementation of Augmented Neural ODEs :sunflower:', 'Reference material for competitive programming self-training', 'Bayesian Methods for Machine Learing Course Project Skoltech 2018 ', 'Monte Carlo Tree Search Based AI Connect 4 Bot', 'Pytorch implementation of Discriminative Regularization for Generative Models', 'A basic Fast Marching Algorithm Implementation to compute Geodesic Paths.', 'ICLR Reproducibility Challenge 2019 ', 'A simple solver for Klotski puzzle', 'YSDA course in Natural Language Processing', 'An exploration of optimization techniques to reproduce images by the use of polygons.', 'A course in reinforcement learning in the wild', 'Basic implementation of RayTracer algorithm for learning purposes', 'A C# Simple Implementation of ', ""Implementation of Reinforcement Learning Algorithms. Python, OpenAI Gym, Tensorflow. Exercises and Solutions to accompany Sutton's Book and David Silver's course."", '1st Place Solution code for the Rimac Data Science Challenge (https://www.rimacchallenge.com/en/)', 'PyTorch4 tutorial of: actor critic / proximal policy optimization / acer / ddpg / twin dueling ddpg / soft actor critic / generative adversarial imitation learning / hindsight experience replay', ' Machine Learning Course Project Skoltech 2018', 'A python implemented comparison between Markov Chain and LSTM text generation models.', 'Reproducing the paper ""Variational Sparse Coding"" for the ICLR 2019 Reproducibility Challenge']"
"When you’re 95% done, you’re only halfway there.",Expert,"['JavaScript', 'CSS', 'HTML', 'Shell', 'Ruby']","['c8', 'apollo', 'selfhosted', 'bookmarklets', 'app', 'bash', '...', 'clarke', 'list', 'atomlinter.github.io']","['dots', 'A CLI toolchain for simplifying serverless web and mobile development.', 'Use existing REST endpoints with GraphQL', 'The default dark ui theme for Atom', 'Atom Light UI theme', 'A proper webpage for AtomLinter.', 'Author Tracking App in React (https://github.com/kevinold/authorwatch-react) integrated with Rails for Nash.rb presented in May 2015', 'Author Tracking App in React for Nash.rb presented in May 2015', 'Automatically check into your Southwest flight 24 hours beforehand.', 'Simple. Open. Continuous Integration.', ':sunglasses: Curated list of awesome lists', 'Awesome collection of helpful bookmarklets', 'Awesome list of GraphQL & Relay', 'This is a list of Free Software network services and web applications which can be hosted locally. Selfhosting is the process of locally hosting and managing applications instead of renting from SaaS providers.', 'Bash function to run tasks in parallel and display pretty output as they complete. Forked to remove COMPACT DISPLAY.', 'The Calendar and Contacts Server.', 'All-in-one chatbot client', 'Unfancy JavaScript', 'ECMAScript 5/6/7 compatibility tables', 'Confidence.js: Make sense of your A/B test results', 'Create React apps with no build configuration.']"
Executive Director @ Solana Foundation,Intermediate,[],"['tour', 'jito', 'core', 'solana', 'blockexplorer', 'solbot', 'counter', 'web3.js', 'cluster', 'token']","['A layer 1 for everyone!', 'Cluster Infrastructure', 'Jito Foundation MEV Solana Client', 'Blockchain Rebuilt for Scale', 'A collection of Solana-maintained on-chain programs', 'Utility for distributing Solana tokens', 'Solana JavaScript SDK', '💸 Solana Discord Tipping Bot 💸', 'Working repository for Lido for Solana ', 'Solana Foundation stake bot used on the Solana Testnet and Mainnet-Beta', 'Command line tools to collect information from a running Solana cluster', 'Scripts and tools for token accounting and operation', 'Tour de SOL']"
Product Manager @ Ngrok,Expert,"['HTML', 'Shell', 'JavaScript', 'Dockerfile', 'CSS']","['amplifyapp', 'module', 'elasticsearch', 'client', 'list', 'py', 'plugins', 'api', 'buildkite', 'CamHacker']","['Automated phishing tool made by AnonyminHack5 to phish various sites with 30+ templates and also has an inbuilt ngrok already to easily help you generate your link and send it to your victim.  Anonphisher tool is made with pure bash script and needs required packages for it to work. ', 'A lambda function for writing data to InfluxDB in Python', '🍺 The missing package manager for macOS (or Linux)', 'The source files for the Buildkite documentation', 'Camera phishing tool. If anyone opens link generated by CamHacker and permits camera access his/her photo will be captured!', 'Cognitive Image Analysis for Java', 'InfluxDB Community Templates: Quicky collect & analyze time series data from a range of sources: Kubernetes, MySQL, Postgres, AWS, Nginx, Jenkins, and more.', 'Ruby API wrapper for Crunchbase API v2', 'A starter template for Deno modules', 'A web site to describe today.', 'A list of disposable email domains, cleaned and validated by scanning MX records.', 'a list of disposable and temporary email address domains', 'A list of disposable email domains', 'docker images for the ngrok agent', 'HTML docs for all elasticseach projects', 'Prometheus documentation: content and static site generator', 'Hack the World using Termux', 'Official Python low-level client for Elasticsearch.', 'An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.', 'The successor for flask-ngrok2 for making demo Flask apps from personal machine.', 'A Go client for the Flume Water API - https://flumetech.readme.io/reference', 'The open-source repo for docs.github.com', 'Ultimate camera streaming application with support RTSP, RTMP, HTTP-FLV, WebRTC, MSE, HLS, MP4, MJPEG, HomeKit, FFmpeg, etc.', 'This repo will serve as a place to gather feedback for the Google Sheets ""Send to Elasticsearch"" add-on.', 'Hack Android Pattern From Termux With This Tool', '🍻 A CLI workflow for the administration of macOS applications distributed as binaries', '🍻 Default formulae for the missing package manager for macOS', 'Cask Hydrator Plugins Repository']"
Software Engineer,Expert,"['JavaScript', 'CSS', 'HTML', 'Ruby']","['01', 'jokes', 'clean', 'server', 'personal', 'divahouse', 'advanced', 'javascript', 'braille', 'of']","['Starter files, final projects and FAQ for my Advanced CSS course', 'algos & data structures in ruby/js', 'The old school battleship game created with the TDD technique using Jest and vanilla JavaScript, ES6 modules, Webpack, Babel, HTML5 and CSS3.', 'An awesome README template to jumpstart your projects! ', 'An Bookstore app built with ReactJS and Redux implementing the CRUD actions and the functionality to store and filter books by category.', 'A responsive web app designed to record your voice and transcript it on the screen, then convert the text to the braille language! made with React and Sass', 'React calculator project', ':bathtub: Clean Code concepts adapted for JavaScript', 'Integration guide to list products on a webpage using React and Commerce.js SDK', 'A Hacktoberfest Challenge', 'PWA Currency Converter App made with HTML5, SASS, ES6 JS implementing ServiceWorkers, Cache use and IndexedDb as the 7DaysOfCode Challenge for ALC & Google Africa Scholarship ', 'dad jokes', 'Codes Collection of my learning of Data Structure & algorithm. ', 'A syntax-highlighting pager for git, diff, and grep output', 'A React and soon native app that converts handwritten or printed text on paper to computer text (digitizing it) giving you a faster and easier way to get things done. The app also might have the ability to tell in which language was a piece of text written after scanning it.', 'Everyday wear for the everyday woman boutique.', ""This is my capstone project at Microverse. It's a web app that let's you search the best doctors in your area and book appointments with them""]"
,Expert,"['Python', 'HTML', 'JavaScript', 'CSS', 'Shell']","['censusPUMS', 'Greek_media', 'learn', 'deeplearning', 'R', 'shakeup', 'Kaggle_Truly', 'wrapper', 'arboretum', 'covasim']","['Decision trees and ensembles in python, accelerated with numba', 'The code samples for the Pluralsight Course JavaScript Promises and Async Programming', ""The code and images for the Kaggle kernel 'Fancy Houses'"", 'Course code for the Puralsight course Restful Web Services with Node and Express', 'A series of short projects I did to learn how to use HTML canvas', 'Mobile drawing app that also posts traces back to a server', 'Utility code for working with the US Census fixed-width microdata files.', 'Some keras and TF work on the cifar10 dataset', 'COVID-19 Agent-based Simulator (Covasim): a model for understanding novel coronavirus epidemiology', 'deep learning work using keras and Tensorflow', 'Extensive reworking of model stacking code from kazAnova/ensemble_amazon', 'Examples and work from Fluent Python by Ramalho', 'A single webpage that holds everything I need to know about Font Awesome', 'forecast package for R', 'The publicly modifiable website project from chapter 20 of Eloquent Javascript.', 'Web app for creating graphs and animating graph algorithms.', 'This repo holds the code for the 10th place entry in the 2014 WISE/Greek Media Multi-label Classification competition hosted on Kaggle.', 'Course code for HTTP on Node.js class on Pluralsight', 'This repo holds my entry in the ""Avito Context Ad Clicks"" competition on Kaggle ', 'This repo contains model code from the Expedia/ICDM 2013 competition hosted on Kaggle.', 'Code for entry in the Kaggle competition ""Truly Native?""', 'The library app from the Pluralsight course Building Web Apps with Node and Express', 'The code samples for the Pluralsight course Managing Files With NodeJS', 'Mobile first list-taking web app with photos on the list items', 'Code for working with the PUMS data from the American Community Survey (ACS)', 'Python wrappers (written using rpy2) for most of the functions in the R Forecast package and some related functions in stats.', 'scikit-learn: machine learning in Python', 'Scrapes Kaggle leaderboards and computes measures of the difference between the final results and the last public leaderboard standings.', 'An all-python package of decision trees and tree ensemble models.', 'The skill sharing website from the final project in Eloquent Javascript']"
,Expert,"['Go', 'Makefile', 'C', 'Roff', 'Perl']","['lockfile', 'installer', 'disktroyer', 'ini', 'windows', 'dcrms', 'xdr', 'brb', 'dbglog', 'dcps']","['Amazon Cloud Drive Backup', 'Auto download hosts file and update unbound.  Block those ads!', 'An embedded key/value database for Go.', ""Run Bitrig's ksh on linux"", ""Bitrig's ksh for OSX"", ""Basic Big.Rat make using golang's big.Rats less of a pain in the butt"", 'Build Your Own, simple computer hardware emulator', 'Coinmarketcap CLI tool to print current market prices.', 'Logger that adds debug and subsystems.', 'Decred Change Proposals (DCPs).', 'Decred daemon in Go (golang)', 'Decred Multisig Tool - dcrms', 'decred mining pool', 'Stake Pool for Decred', 'Decred anchored timestamp client, proxy, and server.', 'A secure decred wallet daemon written in Go (golang)', 'Decred Binary Releases', 'file system test tool', 'Toy implementation of a blockchain.', 'Go Compiler Kit', ""Go library for detecting and expanding the user's home directory without cgo."", 'INI parsing library for Go.', 'Implements the XDR standard as specified in RFC 4506 in pure Go (Golang)', 'Go based GPU miner for Decred', 'Little go utilities one writes over and over again', 'Test tool for syndtr/goleveldb', 'Lightning Network Daemon ⚡️', 'go package that manages filesystem locks.']"
"Currently in Snowflake, building Cloud Data Platform.
Previously, Google Compute Engine and Project Orleans in Microsoft Research.",Expert,"['C#', 'Shell', 'HTML', 'F#', 'Protocol Buffer']","['csharp', 'JGroups', 'we', 'netmq', 'distsysbook', 'dotnet', 'client', 'Orleankka', 'flight', 'api']","['actormodel.net', 'This repository is dedicated to high-level feature discussions and for persisting design decisions.', 'Port of Akka actors for .NET', 'Repository containing the Articles on azure.microsoft.com Documentation Center', 'Bond is a cross-platform framework for working with schematized data. It supports cross-language de/serialization and powerful generic mechanisms for efficiently manipulating data. Bond is broadly used at Microsoft in high scale services. ', 'The book Distributed systems: for fun and profit', 'Docker container hosting daprdockr', 'Google Cloud Client Library for .NET', 'Flight rules for git - a work in progress!', 'The Go programming language', 'Google APIs Client Library for .NET', 'Sample Projects for using the Google .net client lib - https://code.google.com/p/google-api-dotnet-client/', 'The C based gRPC (C++, Node.js, Python, Ruby, Objective-C, PHP, C#)', 'Google Core Libraries for Java 6+', 'files for diagnostic of orleans client', 'The JGroups project', 'Native C# client for Kafka queue servers.', 'A library to provide pooling for .NET MemoryStream objects to improve application performance. ', 'Port of ZeroMQ to .Net', 'Orbit - Build distributed and scalable online services', 'Akka-style actor API for MSR Orleans', 'Repo for Orleans - Distributed Actor Model', 'Workflow Foundation (.Net 4.x System.Activities workflows) over Orleans framework.', 'OrleansFSharpSamples', 'Papers from the computer science community to read and discuss.', 'Play Framework', ""Protocol Buffers - Google's data interchange format"", 'A mirror of the Rx.NET repository on codeplex', 'RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.']"
,Expert,"['Python', 'Java', 'Dockerfile', 'CSS', 'HTML']","['weather', 'insights', 'consumer', 'transform', 'benford', 'dps_scrapy_scraper', 'lookup', 'parenting', 'coverage', 'multitopic']","['Build a beautiful and simple website in literally minutes. Demo at http://deanattali.com/beautiful-jekyll', 'An APRS (Automatic Packet Reporting System) feed that writes weather and speed records, as JSON, to a Kafka topic.', 'A couple of financial data experiments, just for fun.', 'Boulder County publishes a variety of property data. This project makes that data searchable by geographic area.', 'An example that shows how to sink data from Confluent Cloud to Neo4j, by running Kafka Connect in a Docker container.', 'Visualization for Commodity Negotiations in the Electronics Manufacturing Services Industry', 'Scrapy scraper example based on dpsk12.org', ""Scrapes grades from Infinite Campus. If they're not good (all A's and B's) then it stops the PS4 from connecting to the internet."", ""Python command-line utility to lookup IP address detail using Maxmind's binary database files."", ""Polls NOAA's FTP for hourly weather data and persists to MySQL"", 'Ad-hoc data analysis for new listings on Redfin.', 'Temperature/Humidity logger using the HTU21D with an Intel Edison', 'Microservice example based on tracking inventory', 'A tuning exercise in order to maximize throughput from the JDBC multitable origin.', 'Kafka Connect Jolt single message transform', 'Scripts and charts for tuning the Kafka multitopic consumer in StreamSets Data Collector', 'Geoip lookup UDF based on https://github.com/cjmatta/ksql-udf-geoip', 'A quick and dirty benchmark to understand the impact of network latency on a MariaDB Galera Cluster', 'Two event types, one topic', 'Reproducible example for this Stackoverflow question: http://stackoverflow.com/questions/36184546/spring-with-mybatis-expected-single-matching-bean-but-found-2', 'A quick example using Tensorflow to create relationships between similar images for rapid retrieval', 'Example usage of Uber H3 with Neo4j', 'A Nifi processor that classifies input into conforming/non-conforming categories']"
